source	media	title	url
NDTD	生物学专家	钟扬——生物学专家	http://www.zgkjcx.com/Article/ShowArticle.asp?ArticleID=8160
艺术与文化素质教育部作者	NDTD	钟扬教授与我校学子畅谈求学和学术之路	http://zs.njust.edu.cn/0b/bd/c4621a134077/page.htm
NDTD	NDTD	钟　扬	http://www.nsfc.gov.cn/publish/portal0/tab348/info43522.htm
NDTD	科学出版社的博文	科学网—原创的，就是世界的——钟扬教授专访 - 科学出版社的博文	http://blog.sciencenet.cn/blog-528739-862070.html
NDTD	腾讯视频	播种未来_钟扬教授_ 复旦大学哲学课堂／哲学时代_腾讯视频	https://v.qq.com/x/page/u0353v8mgts.html
NDTD	那个为人类寻觅种子的人，那个为未来保存希望的人	追忆著名植物学家、复旦大学教授钟扬——那个为人类寻觅种子的人，那个为未来保存希望的人	http://mp.weixin.qq.com/s/SL-yAf8Qu_fVVJkZ3mZ1OA
长江网	cjn.cn	植物学家钟扬去世 他曾在武汉植物园找到了路和家_首页武汉_新闻中心_长江网_cjn.cn	http://news.cjn.cn/sywh/201709/t3078726.htm?from=timeline
NDTD	他应该是科研大师中最会讲段子的科普达人了	送别钟扬（二）|他应该是科研大师中最会讲段子的科普达人了	http://mp.weixin.qq.com/s/hUXEusynjxJIOfx50RFxhg
NDTD	微信网文	钟伯伯，您永远活在我们心中	http://mp.weixin.qq.com/s/VwapMGNBbbved8fnUWfidQ
NDTD	微信网文	悼钟扬教授	http://mp.weixin.qq.com/s/fAQ93qPwT2CQ4SK_F_ucVQ
澎湃新闻	The Paper	植物学家钟扬遗体告别仪式在宁夏举行，复旦师生折千纸鹤悼念_浦江头条_澎湃新闻-The Paper	http://m.thepaper.cn/newsDetail_forward_1811263?from=groupmessage&isappinstalled=0
央视网	央视网(cctv.com)	[东方新闻]上海：收集种子播种未来 各界送别钟扬_新闻频道_央视网(cctv.com)	http://news.cctv.com/2017/09/29/VIDE2IzDrjrWQOzgItd1ohj0170929.shtml
NDTD	央视网	《好人在身边》 20170212 播种未来_好人在身边_视频_央视网	http://tv.cntv.cn/video/C31526/1ed89264b1533de1d490706a0a4e5c44
NDTD	复旦师生折千纸鹤悼念	植物学家钟扬遗体告别仪式在宁夏举行, 复旦师生折千纸鹤悼念	http://m.uczzd.cn/webview/news?app=smds-iflow&aid=8867927277720185311&cid=0&zzd_from=smsc-news&uc_param_str=dndsfrvesvntnwpfgicp&recoid=&rd_type=reco&sp_gz=0&recoid=b57416408aa831e39d22a8086577603b
NDTD	微信网文	纪念恩师钟扬教授	http://mp.weixin.qq.com/s/0iNjiWRnjfLsNLzN40h1tw
娱乐前瞻	微信网文	今日聚焦：这些科学家的价值，无可估量！与艺人相比，谁更应配专职司机和保镖？值得反思……	http://mp.weixin.qq.com/s/h0RzK05CuS2Ban3JGgEnBg
艺非凡mp	搜狐网	再见，钟扬！红树渐已成林，而你却已远行_搜狐时尚_搜狐网	http://www.sohu.com/a/195725337_486483
NDTD	NDTD		http://note.youdao.com/share/mobile.html?id=96de6043c229fab9a14c0c6cddb81a36&type=note&from=groupmessage&isappinstalled=0
NDTD	NDTD	新闻详情页	http://xhpfmapi.zhongguowangshi.com/share/index.html?docid=2363300&channel=weixin&from=timeline&isappinstalled=0
NDTD	微信网文	谢谢你，钟扬教授	http://mp.weixin.qq.com/s/q4nIaB7p3y_1jrzLkOVOYw
NDTD	益路童行	【益路童行】追思钟扬教授	http://mp.weixin.qq.com/s/ukk8ag_Muj0kaM8B5gX9PA
NDTD	蔡小宁的博文	科学网—也忆钟扬教授 - 蔡小宁的博文	http://blog.sciencenet.cn/home.php?mod=space&uid=789923&do=blog&id=1077759
澎湃新闻	The Paper	重读钟扬自述“高考之路”：我是这样15岁考上了大学_教育家_澎湃新闻-The Paper	http://www.thepaper.cn/newsDetail_forward_1806029
新华社	援藏16年收集四千万颗种子	植物学家钟扬逝世 援藏16年收集四千万颗种子	https://m.baidu.com/from=1001250i/bd_page_type=1/ssid=0/uid=0/baiduid=69541E51C024DF423BED4DC3F17974E5/w=40_10_/t=zbios/l=3/tc?ref=www_zbios&pu=sz%401320_480%2Ccuid%40ga2P8lu3v8_duSt3lP2ka_PQvigmiSiejOHCigiu2t8qO28g_Pvf8_aQvig4uv8aA%2Ccua%40_a-qi4uq-igBNE6lI5me6NNy2IgUI2f6AqqqB%2Ccut%40pfX9OgaS2fy4aXiDouD58gNXxoku5FqJjqqSB%2Cosname%40baiduboxapp%2Cctv%402%2Ccfrom%401001250i%2Ccen%40cuid_cua_cut%2Ccsrc%40home_box_txt%2Cvmgdb%400020100228y%2Cta%40zbios_2_6.0_6_7.1%2Cusm%404&lid=17113486723828865754&order=3&fm=alop&tj=www_normal_3_40_10_title&vit=osres&m=8&srd=1&cltj=cloud_title&asres=1&title=%E6%A4%8D%E7%89%A9%E5%AD%A6%E5%AE%B6%E9%92%9F%E6%89%AC%E9%80%9D%E4%B8%96%E6%8F%B4%E8%97%8F16%E5%B9%B4%E6%94%B6%E9%9B%86%E5%9B%9B%E5%8D%83%E4%B8%87%E9%A2%97%E7%A7%8D%E5%AD%90_%E6%96%B0%E9%97%BB%E9%A2%91%E9%81%93...&dict=32&w_qd=IlPT2AEptyoA_ykwrf5bwey&sec=24339&di=262cfb67f5ba15d8&bdenc=1&tch=124.133.237.456.0.0&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IGB3GRmBX1Sqc95qshbWxBgQqE7SqAp8GSoCb9jDLxBt8kVL4Zllpg1UAf45Wc5t47V7v7qSVy_LGHBERhg2lNMH_XC5o&eqid=ed7f5181122ed8001000000659cf1624&wd=&clk_info=%7B%22srcid%22%3A%221599%22%2C%22tplname%22%3A%22www_normal%22%2C%22t%22%3A1506743937454%2C%22sig%22%3A%2291409%22%2C%22xpath%22%3A%22div-a-h3%22%7D&sfOpen=1
NDTD	科学出版社的博文	科学网—原创的，就是世界的——钟扬教授专访 - 科学出版社的博文	http://blog.sciencenet.cn/blog-528739-862070.html?from=groupmessage
光明网	中国经济网——国家经济门户	为人类寻觅种子的人走了 追思之外更要以安全为重(图) _中国经济网——国家经济门户	http://views.ce.cn/view/ent/201709/28/t20170928_26376349.shtml
新华社	他给未来留下四千万颗种子—新闻—科学网	一位植物学家走了 他给未来留下四千万颗种子—新闻—科学网	http://news.sciencenet.cn/htmlnews/2017/9/389710.shtm
新民晚报	手机新民网	学生追忆钟扬教授：不放过一个标点错误 不错过一棵珍稀树木 - 手机新民网	http://m.xinmin.cn/mobile/news/content/31307465/30ead904aaae9b235500a49eb55c6e36?&XMWBApp_UdeviceId=null
NDTD	蔡宁的博文	科学网—哭钟扬师！ - 蔡宁的博文	http://blog.sciencenet.cn/home.php?mod=space&uid=1213429&do=blog&id=1077712&from=groupmessage
NDTD	NDTD	植物學家鐘揚生前所種紅樹林：已衍三代	http://hk.crntt.com/doc/1048/3/6/2/104836211.html?coluid=209&kindid=9572&docid=104836211
NDTD	NDTD	复旦教授钟扬解密人类DNA：男人秃头别怪老爹，得怪外公	https://feed.baidu.com/feed/data/box/landingreact?cmd=157&context=%7B%22nid%22:%22news_3327064167198990741%22%7D&refresh=3&pageType=1
文汇报	NDTD	那个为人类未来收集种子的人走了	http://www.stcsm.gov.cn/xwpt/kjdt/350921.htm
解放日报	上海政府网	他为上海培植一片红树林 追忆复旦大学研究生院院长、著名植物学家钟扬教授	http://www.shanghai.gov.cn/nw2/nw2314/nw2315/nw4411/u21aw1259124.html?from=singlemessage&isappinstalled=0
新华社	人民网	植物学家钟扬逝世 援藏16年收集四千万颗种子--人民网环保频道--人民网	http://env.people.com.cn/n1/2017/0926/c1010-29559114.html
NDTD	中华网	警方披露复旦钟扬教授车祸细节：两车相撞，正在调查_中华网	http://3g.china.com/act/news/10000169/20170926/31514078.html
中央纪委监察部网站_	中央纪委监察部网站	一位植物学家走了,他给未来留下4000万颗种子————勤廉楷模——中央纪委监察部网站	http://www.ccdi.gov.cn/xcjy/qlkm/201709/t20170929_108186.html?from=singlemessage&isappinstalled=0
中央纪委监察部网站_	中央纪委监察部网站	一位植物学家走了,他给未来留下4000万颗种子————勤廉楷模——中央纪委监察部网站	http://www.ccdi.gov.cn/xcjy/qlkm/201709/t20170929_108186.html?from=groupmessage&isappinstalled=0
新华社	新华网西藏频道	植物学家钟扬逝世 援藏16年收集四千万颗种子-新华网西藏频道	http://tibet.news.cn/ywjj/2017-09/26/c_136638908.htm
新华社	新华网西藏频道	植物学家钟扬逝世 援藏16年收集四千万颗种子-新华网西藏频道	http://tibet.news.cn/ywjj/2017-09/26/c_136638908.htm?from=timeline
文汇报	中国经济网——国家经济门户	复旦研究生院院长钟扬遭遇车祸不幸离世 年仅53岁_中国经济网——国家经济门户	http://www.ce.cn/xwzx/gnsz/gdxw/201709/25/t20170925_26291977.shtml
新民晚报	手机新民网	再见，钟扬！谢谢你为上海种下唯一的红树林，谢谢你为我们带来美妙的科学！ - 手机新民网	http://m.xinmin.cn/mobile/news/content/31306053/2072aee508e8208a4a4bbf94e5dc9120
NDTD	年仅53岁	惋惜!复旦研究生院院长钟扬遇车祸不幸离世 年仅53岁	http://app.peopleapp.com/Api/600/DetailApi/shareArticle?type=0&article_id=712013
NDTD	NDTD	那个为人类未来收集种子的人走了,复旦钟扬教授生命回放	http://app.peopleapp.com/Api/600/DetailApi/shareArticle?type=0&article_id=712988
NDTD	新京报网	复旦大学研究生院院长钟扬遭遇车祸 不幸离世 - 国内 - 新京报网	http://www.bjnews.com.cn/news/2017/09/25/459192.html
NDTD	为建种子库屡上高原	复旦教授遇车祸离世 为建种子库屡上高原	http://app.peopleapp.com/Api/600/DetailApi/shareArticle?type=0&article_id=712288
NDTD	NDTD	青藏高原上曾一天行进750公里，钟扬留下四千万颗希望的种子	http://baijiahao.baidu.com/s?id=1579658174528612082&wfr=spider&for=pc
NDTD	中国网客户端	复旦教授钟扬遗体告别仪式在宁夏举行_中国网客户端	http://t.m.china.com.cn/convert/c_0jTzev.html
北京青年报	凤凰网	钟扬：世界屋脊上的种子收集者_山东频道_凤凰网	http://sd.ifeng.com/a/20170912/5987565_0.shtml
NDTD	NDTD	再见，钟扬！红树渐已成林，而你却已远行	http://wemedia.ifeng.com/32554268/wemedia.shtml
NDTD	微博HTML5版	微博正文 - 微博HTML5版	https://m.weibo.cn/status/FnuQp4s0j
